Country,Year,Smartphone Sales (Millions),Laptop Shipments (Millions),Gaming Console Adoption (%),Smartwatch Penetration (%),Average Consumer Spending on Gadgets ($),E-Waste Generated (Metric Tons),5G Penetration Rate (%)
Brazil,2024,158.13,74.04,12.23,12.24,2832.17,1229.28,63.94
Brazil,2025,447.89,87.92,32.7,14.55,667.79,1859.55,8.41
Canada,2015,200.11,148.27,13.55,10.93,2741.31,1892.67,32.72
Canada,2016,95.47,30.55,15.33,3.45,225.38,1517.83,17.2
Canada,2017,283.3,42.42,30.26,16.78,1982.4,1489.69,56.93
Canada,2018,153.43,86.03,37.85,24.2,1989.85,1731.98,51.45
Canada,2019,352.69,111.5,37.65,6.98,1800.1,499.86,13.2
Canada,2020,261.03,87.32,19.64,8.98,1153.0,663.87,13.64
Canada,2021,458.94,25.18,36.58,12.61,2765.28,1954.06,32.34
Canada,2022,124.51,132.45,25.12,5.59,2740.43,251.69,73.44
Canada,2023,82.4,90.87,37.58,22.0,1770.03,1368.87,53.54
Canada,2024,382.35,135.66,39.39,23.25,2061.97,1783.59,5.91
Canada,2025,194.84,148.29,17.07,10.25,1156.52,165.18,14.86
